,$,private,public,rpar,lpar,dot,float,integer,semi,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,isa,and,div,mult,colon,id,attribute,constructorkeyword,function,localvar,rsqbr,lsqbr,arrow,sr,not,floatnum,class,assign,intnum,or,eof
LOCALVARORSTAT,,,,,,,,,,LOCALVARORSTAT ? STATEMENT,LOCALVARORSTAT ? STATEMENT,LOCALVARORSTAT ? STATEMENT,LOCALVARORSTAT ? STATEMENT,,,LOCALVARORSTAT ? STATEMENT,,,,,,,,,,,,,,,,,,LOCALVARORSTAT ? STATEMENT,,,,LOCALVARORSTAT ? LOCALVARDECL,,,,,,,,,,,
MEMBERDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERDECL ? MEMBERVARDECL,MEMBERDECL ? MEMBERFUNCDECL,MEMBERDECL ? MEMBERFUNCDECL,,,,,,,,,,,,
MEMBERFUNCDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCDECL ? MEMBERFUNCHEAD semi,MEMBERFUNCDECL ? MEMBERFUNCHEAD semi,,,,,,,,,,,,
MEMBERFUNCHEAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERFUNCHEAD ? constructorkeyword colon PARAMLIST,MEMBERFUNCHEAD ? function ID colon PARAMLIST ARROWRETURNTYPE,,,,,,,,,,,,
MEMBERVARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MEMBERVARDECL ? attribute VARDECL REPTARRAYSIZE semi,,,,,,,,,,,,,,
ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ID ? id,,,,,,,,,,,,,,,
VARDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VARDECL ? ID colon TYPE,,,,,,,,,,,,,,,
MULTOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MULTOP ? and,MULTOP ? div,MULTOP ? mult,,,,,,,,,,,,,,,,,
OPTINHERITS,,,,,,,,,,,,,,,,,,OPTINHERITS ? &epsilon,,,,,,,,,,,OPTINHERITS ? isa ID REPTINHERITSLIST,,,,,,,,,,,,,,,,,,,,
PROG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROG ? REPTPROG0,,,,,,,,PROG ? REPTPROG0,,,,PROG ? REPTPROG0
RELEXPR,,,,,RELEXPR ? ARITHEXPR RELOPOP ARITHEXPR,,,,,,,,,,,,,,RELEXPR ? ARITHEXPR RELOPOP ARITHEXPR,RELEXPR ? ARITHEXPR RELOPOP ARITHEXPR,,,,,,,,,,,,,,RELEXPR ? ARITHEXPR RELOPOP ARITHEXPR,,,,,,,,,RELEXPR ? ARITHEXPR RELOPOP ARITHEXPR,RELEXPR ? ARITHEXPR RELOPOP ARITHEXPR,,,RELEXPR ? ARITHEXPR RELOPOP ARITHEXPR,,
